Time, Temp (C), Humidity (%)
2022-01-28 22:59:25.927929, 18.2, 64.0
2022-01-28 22:59:31.013120, 18.1, 64.0
2022-01-28 22:59:41.181188, 18.1, 64.0
2022-01-28 22:59:46.266088, 18.2, 64.0
2022-01-28 22:59:56.434710, 18.1, 64.0
2022-01-28 23:00:01.520598, 18.2, 64.0
2022-01-28 23:00:06.606205, 18.2, 64.0
2022-01-28 23:00:11.691366, 18.2, 64.0
2022-01-28 23:00:16.777289, 18.2, 64.0
2022-01-28 23:00:21.862810, 18.2, 64.0
2022-01-28 23:00:32.031193, 18.2, 64.0
2022-01-28 23:00:37.113144, 18.1, 64.0
2022-01-28 23:00:47.281453, 18.2, 64.0
2022-01-28 23:00:52.367369, 18.2, 64.0
2022-01-28 23:00:57.452127, 18.2, 64.0
2022-01-28 23:01:02.532524, 18.2, 64.0
2022-01-28 23:01:07.616028, 18.2, 64.0
2022-01-28 23:01:12.702095, 18.1, 64.0
2022-01-28 23:01:17.787303, 18.1, 64.0
2022-01-28 23:01:22.873452, 18.1, 64.0
2022-01-28 23:01:33.042079, 18.1, 64.0
2022-01-28 23:01:38.123203, 18.2, 64.0
2022-01-28 23:01:43.209165, 18.2, 64.0
2022-01-28 23:01:48.295060, 18.2, 64.0
2022-01-28 23:01:53.380704, 18.1, 64.0
2022-01-28 23:01:58.462121, 18.2, 64.0
2022-01-28 23:02:03.546138, 18.1, 64.0
2022-01-28 23:02:13.712843, 18.1, 64.0
2022-01-28 23:02:18.798036, 18.2, 64.0
2022-01-28 23:02:23.883941, 18.2, 64.0
2022-01-28 23:02:34.051496, 18.2, 64.0
2022-01-28 23:02:44.212302, 18.1, 64.0
2022-01-28 23:02:49.297277, 18.1, 64.0
2022-01-28 23:02:54.383143, 18.2, 64.0
2022-01-28 23:02:59.469209, 18.2, 64.0
2022-01-28 23:03:04.555139, 18.2, 64.0
2022-01-28 23:03:09.641133, 18.2, 64.0
2022-01-28 23:03:14.726689, 18.1, 64.0
2022-01-28 23:03:19.812172, 18.1, 64.0
2022-01-28 23:03:24.892769, 18.2, 64.0
2022-01-28 23:03:29.977524, 18.2, 64.0
2022-01-28 23:03:35.062723, 18.1, 64.0
2022-01-28 23:03:40.148295, 18.2, 64.0
